"No.","Time","Source","Destination","Protocol","Length","Info"
"39","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"40","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"41","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"42","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"43","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"44","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"45","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"46","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"47","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"48","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"49","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"50","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"51","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"52","2025/047 01:12:52.987675","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","287","443  >  51741 Len=225"
"53","2025/047 01:12:52.987675","2a06:c700:2002:2:face:b00c:3333:7020","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.2","113","Application Data"
"54","2025/047 01:12:52.987675","2a06:c700:2003:b:face:b00c:3333:7020","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.2","113","Application Data"
"55","2025/047 01:12:52.987675","2a06:c700:2003:10:face:b00c:3333:7020","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.2","113","Application Data"
"56","2025/047 01:12:52.988045","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c700:2002:2:face:b00c:3333:7020","TCP","74","52963  >  443 [ACK] Seq=1 Ack=40 Win=1021 Len=0"
"57","2025/047 01:12:52.988108","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c700:2003:b:face:b00c:3333:7020","TCP","74","52965  >  443 [ACK] Seq=1 Ack=40 Win=1021 Len=0"
"58","2025/047 01:12:52.988118","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c700:2003:10:face:b00c:3333:7020","TCP","74","52962  >  443 [ACK] Seq=1 Ack=40 Win=1021 Len=0"
"59","2025/047 01:12:52.988173","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:800::2016","UDP","94","51741  >  443 Len=32"
"60","2025/047 01:12:52.988312","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:800::2016","UDP","94","51741  >  443 Len=32"
"61","2025/047 01:12:52.988413","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:800::2016","UDP","94","51741  >  443 Len=32"
"62","2025/047 01:12:52.991576","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","88","443  >  51741 Len=26"
"63","2025/047 01:12:52.991864","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:800::2016","UDP","94","51741  >  443 Len=32"
"64","2025/047 01:12:52.995279","2a06:c700:2002:10:face:b00c:3333:7020","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.2","113","Application Data"
"65","2025/047 01:12:52.995363","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c700:2002:10:face:b00c:3333:7020","TCP","74","52964  >  443 [ACK] Seq=1 Ack=40 Win=1021 Len=0"
"66","2025/047 01:12:53.161095","2a06:c700:2003:2:face:b00c:3333:7020","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.2","113","Application Data"
"67","2025/047 01:12:53.161186","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c700:2003:2:face:b00c:3333:7020","TCP","74","52969  >  443 [ACK] Seq=1 Ack=40 Win=1021 Len=0"
"68","2025/047 01:12:53.423935","2001:4cd0:dc00:1::d419:45ab","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","93","443  >  60201 Len=31"
"69","2025/047 01:12:53.443712","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","TCP","75","52890  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 2694]"
"70","2025/047 01:12:53.452376","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","86","443  >  52890 [ACK] Seq=1 Ack=2 Win=1027 Len=0 SLE=1 SRE=2"
"71","2025/047 01:12:53.459557","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2001:4cd0:dc00:1::d419:45ab","UDP","94","60201  >  443 Len=32"
"72","2025/047 01:12:53.470280","2001:4cd0:dc00:1::d419:45ab","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","93","443  >  60201 Len=31"
